1,"[15726.706233033474, 16224.8604851438, 15964.70721150907, 15914.292496949754, 16207.985705144383, 16283.062300089194, 16440.922615429226, 16619.721601061567, 16518.6269007674, 16500.7380169697, 16666.912353629574, 16843.318302823456, 16639.843224334778, 16558.58780777976, 16534.817552600434, 16844.524906602186, 16561.240260490318, 16498.47133577792, 16518.82211365846, 16498.52672923104, 16496.83935998503, 16587.162376160086, 17764.665418030527, 16499.90782877274, 16530.78506314922, 16794.601455838594, 16810.733687804182, 16770.982338084446, 16632.283145563895, 16803.902218807234, 16635.91821815043, 16609.12188836233, 16653.5222774715, 16567.84548071251, 17990.940769656467, 16900.23001012455, 17655.63817719077, 16563.03434675283, 16492.32626658464, 16747.346213656194, 16668.476015072112, 16636.892904107008, 18293.328616781153, 17613.150974452758, 17264.827326473976, 17559.81278631661, 17181.9462477867, 16920.566205979783, 16666.337955666575, 16518.8183096632]"
2,"[17998.890472797008, 17047.485797388, 17127.881803390803, 18422.566016148252, 17912.458167945093, 18234.735384556436, 17703.52538654003, 17757.080675167585, 17845.91953514199, 17944.68565763568, 18083.91111548028, 17934.005227308095, 18062.648697716664, 18267.36922249061, 17921.1645832114, 17815.763448644168, 17809.38255974157, 18115.822848751443, 18087.225890887523, 18040.853624711774, 17804.88224626094, 17703.294458925637, 18096.717307878367, 18093.68584854927, 17914.54531044638, 18099.113190662072, 18307.97765145934, 18339.071242012913, 17868.25565199992, 18052.74177395807, 18307.169907310847, 18037.92960000901, 18241.126497855294, 17947.154526444385, 17892.497579785384, 18331.53090311344, 18265.95664028701, 17858.63169287797, 17583.737429302477, 18263.601309678663, 18060.778165394906, 18284.22435131682, 18163.354988466366, 18097.946260360957, 17922.622415001082, 17933.497048075194, 18252.440163652966, 17675.28820118736, 17962.124818363547, 17871.938528203595]"
3,"[15783.398641188513, 19121.95610488992, 18989.922052419293, 19383.75414137097, 19367.01957192758, 19274.05970032791, 19424.82508476272, 19386.370933086495, 19423.390912361167, 19345.757142434217, 19338.190692522272, 19387.50586497107, 19367.586574622197, 19419.832389347386, 19330.82332725654, 19304.918378824543, 19272.016500846003, 19325.081285005188, 19354.12879482482, 19346.72074744488, 19300.298057170046, 19322.92214175804, 19401.83638503494, 19374.959640159796, 19268.573985292795, 19366.075183873734, 19304.244345759595, 19404.676950908703, 19360.921195180854, 19325.697025933914, 19348.516296918548, 19324.402204588812, 19275.75109321192, 19323.43601743577, 19342.2046759777, 19426.45701952018, 19380.409975015835, 19371.705319347573, 19407.978112860088, 19350.52823761785, 19403.39561518305, 19386.00798275486, 19347.148303810827, 19363.63214173641, 19329.593759514813, 19429.065545183184, 19334.342911397005, 19298.535555994516, 19288.244838717364, 19426.81500353529]"
4,"[18295.439765126925, 24304.355307382342, 23904.101012466024, 24349.21923985167, 24423.634712989275, 24411.22600543274, 24415.159485683012, 24407.669090614705, 24346.914745554554, 24410.703192011206, 24414.247286649166, 24390.358205652927, 24357.328874704755, 24402.039581246157, 24428.213267862637, 24331.81265348127, 24402.798623087445, 24391.072207205827, 24408.552409664357, 24401.888359313838, 24429.862505043835, 24424.924027554327, 24419.081251978656, 24415.741016570646, 24377.488155613857, 24394.584125396446, 24381.347436948483, 24344.18962858287, 24430.1206354268, 24336.84550453641, 24429.46976107367, 24312.570014748184, 24404.508999053796, 24432.559783555982, 24417.980386042684, 24366.849082220455, 24397.07462116643, 24405.648458373485, 24317.95611107398, 24423.137111172997, 24310.599248072074, 24400.64921706781, 24354.465587726503, 24412.050887159217, 24398.52205455247, 24314.878465511196, 24323.96535931064, 24290.525732463087, 24399.9882943283, 24371.957528426166]"
5,"[57819.496875861136, 95110.09063153731, 89853.54508644005, 95315.95210205368, 95253.2557075051, 95419.33468301344, 94942.44034049526, 95561.36226740963, 95205.81156177091, 95447.88797735487, 95406.25018778373, 95502.78330010176, 95453.11689693556, 95320.25666943076, 95308.56881379959, 95272.82059882913, 95518.06992121582, 95423.69279240642, 95422.19886967022, 95260.2022663522, 95209.34405604505, 95430.07188699272, 95554.54552026762, 95306.90833493508, 95378.85088533489, 95323.7520527048, 95581.147364748, 95469.67508926138, 95300.30849177018, 95133.45074223477, 95415.94071191899, 95280.03431351029, 95259.73957707634, 95138.65100234735, 94979.7151587425, 94782.19851311785, 94948.21466421295, 95259.84131068451, 94991.5576726317, 95441.42692613689, 95195.34930497658, 95122.80316749169, 95273.69830757321, 95296.7348366999, 95005.13296376867, 95335.69679745618, 95231.52927464311, 95349.13514124951, 95198.67496346752, 95235.18768034398]"
6,"[12882.816682287135, 16966.341564394563, 16999.198491445488, 17030.878743452937, 17936.614554112377, 17178.374487999856, 18330.351637114632, 17772.472341717228, 17482.383220275522, 17241.31646296101, 17183.03262406293, 17139.53736083246, 17444.165424598803, 17142.2403825367, 17114.273316994855, 17093.147435339655, 17143.874711409553, 17210.57683378899, 17066.08155331346, 17111.450817625242, 17212.232303675228, 17279.453239018447, 17248.77504615424, 17193.463037689136, 17168.86207709001, 17262.60500274755, 17307.491096093385, 17823.36634386066, 17272.31425294261, 17172.399478948122, 17169.71529648047, 17158.13437781069, 17415.464592159762, 17231.729582192405, 17210.205937712366, 17182.391531089226, 17125.42065900771, 18702.79592223055, 17186.983504265343, 17183.01418447531, 17312.174873511052, 17194.410408757387, 17267.750487122685, 17157.17287120464, 17592.145158995212, 17324.251064249693, 17156.4821441495, 18015.637871505627, 18829.49915263035, 17711.87287781405]"
7,"[6743.434042180161, 6713.079863323306, 7616.742014987394, 8318.29419402247, 8469.780559774517, 10158.090271089852, 9138.545880516409, 8432.024442618116, 8690.03390832452, 8429.188342243724, 9537.033368485892, 8536.892666757543, 9862.021319753097, 9353.837060369478, 9920.45845954708, 9708.22394426771, 9636.625660358623, 9815.021451526685, 9873.406179614612, 9644.774816296514, 9860.330653286801, 9666.29105797474, 9652.475341267535, 9594.837130580345, 9632.678072948023, 9815.055565310511, 9704.733347063768, 9597.022669706043, 9794.661154578615, 9881.798009861814, 9845.35171198759, 9689.138111137014, 9920.02268597536, 9833.262363579008, 9669.123837764011, 9654.797665444072, 9868.053344034372, 9597.849906049072, 9858.555437799296, 9759.669711842842, 9750.670686577258, 9689.411296198494, 9817.06772692679, 9768.146885466456, 9736.509641339813, 9665.968322072353, 9588.022607167688, 9534.222533023523, 9372.455926993658, 9870.916093014777]"
8,"[39130.48056018479, 39428.98300350951, 39088.94146341334, 40169.98562039569, 39763.3560714544, 40688.567984708134, 39080.27222345458, 39602.821156818274, 39285.65105217049, 39496.51884347429, 39377.356182492484, 39876.006002966795, 40789.721508137576, 40022.74597864167, 39853.63714463326, 39935.21366081601, 40006.113302928294, 39700.03171550768, 39875.25195871263, 40106.87610651653, 40011.047293520445, 39957.31798930935, 39954.61920199529, 39940.44776812765, 39842.43783761254, 39846.02455573392, 39758.021832490354, 39662.43608167172, 40049.80147970856, 39645.62135884102, 40124.27579565965, 39943.124760662206, 39835.292460851735, 39680.28251291269, 39761.47636919787, 39576.454276599936, 39684.62477481988, 39913.81676100024, 39580.62363186547, 39781.95933828446, 39862.166622217555, 39932.0879477211, 39911.72048487753, 39985.394796222434, 40192.535271044995, 40101.8248013398, 39942.042781386175, 39816.40316075762, 40125.71904958942, 39899.697782059186]"
9,"[24026.437186201765, 24022.98677240521, 24463.148518750386, 25858.694098756503, 26052.62130519469, 26393.702298587305, 26140.165689378307, 26339.429652237093, 26231.772868122614, 26309.081574867574, 26267.62488436749, 26314.938459361132, 26412.587815329338, 26442.13704022613, 26357.81414890301, 26448.458882445884, 26396.061079669817, 26465.18667377632, 26423.62081919636, 26391.583655608047, 26431.696176350495, 26419.96199777496, 26430.598323027312, 26396.140771267354, 26459.555654700358, 26458.61822807211, 26363.37171867439, 26462.84227685613, 26418.42908524228, 26413.54440401928, 26353.89256739593, 26340.031902652285, 26319.65999301462, 26450.59311864413, 26396.3822701522, 26419.39980528844, 26361.771009908625, 26337.49267378387, 26350.93736273644, 26394.08167309034, 26458.035449284376, 26450.272121181333, 26432.71019698109, 26426.258483733218, 26461.644662500556, 26423.260334432474, 26445.31936389199, 26435.370721047715, 26432.74325431732, 26407.931807424204]"
10,"[52267.534609547874, 51704.148358535196, 83035.90620809348, 82731.03533241179, 83647.22343950954, 83408.18715861472, 83670.83819292835, 83304.38682565896, 83162.73183034122, 83198.94761555738, 82992.1886430255, 82898.3888413175, 82870.70036680056, 84203.28062938337, 82861.97850760704, 82823.48371491086, 83596.02267584426, 83060.30893379691, 83010.68875786883, 82872.1134513487, 82928.00451953517, 83035.59917805137, 83250.4852130661, 83200.5630322812, 83173.12491825377, 83053.86421635852, 83180.56764247772, 82987.35127163149, 83133.16740928771, 83102.78620214984, 83529.8354140706, 83129.47811508144, 83112.43474308908, 83066.47946973355, 83202.0457983209, 82901.25783785098, 83145.35296889857, 83629.24215555872, 83683.31923437613, 83078.37726555567, 83051.10266222796, 83796.43172333238, 83045.70201841061, 82960.33428055915, 83348.36870718386, 82932.18653561326, 83157.78123430873, 83251.6846616875, 83161.63994354324, 83155.19959704616]"
